time,flux
1983.629781194196,14777.0771484375
1983.631170049158,14780.5830078125
1983.6325589041196,14759.3681640625
1983.6339477588483,14713.0869140625
1983.6353366138108,14740.96875
1983.6367254687727,14750.69140625
1983.6381143237347,14782.9560546875
1983.6395031786963,14779.83203125
1983.6408920336578,14791.91796875
1983.6422808886193,14764.80078125
1983.643669743348,14780.75390625
1983.6450585983105,14791.9130859375
1983.6464474532718,14795.875
1983.647836308233,14821.2412109375
1983.6492251631955,14822.40625
1983.6506140181575,14835.8623046875
1983.6520028728871,14814.0546875
1983.6533917278487,14836.5517578125
1983.6547805828102,14815.0888671875
1983.6561694377722,14858.1337890625
1983.6575582927342,14828.0478515625
1983.6589471476957,14800.9033203125
1983.6603360024244,14808.0654296875
1983.6617248573868,14787.62109375
1983.6631137123488,14786.7763671875
1983.6645025673113,14808.2138671875
1983.6658914220397,14774.7353515625
1983.667280277001,14747.9638671875
1983.6686691319635,14728.2431640625
1983.6700579869255,14744.6572265625
1983.6770022615021,14770.3759765625
1983.6811688261548,14823.78515625
1983.682557680884,14824.9912109375
1983.6839465358464,14851.5322265625
1983.685335390808,14821.34765625
1983.6867242457693,14860.4453125
1983.6881131004986,14852.7294921875
1983.6895019554606,14842.3056640625
1983.690890810423,14808.541015625
1983.6922796651518,14803.8310546875
1983.6936685201133,14781.712890625
1983.6950573750753,14798.9541015625
1983.6964462298047,14781.837890625
1983.697835084767,14728.7587890625
1983.6992239397284,14771.181640625
1983.70061279469,14785.2841796875
1983.7020016494191,14740.79296875
1983.7033905043816,14755.8603515625
1983.7047793591107,14761.357421875
1983.7061682140722,14771.5146484375
1983.7075570690338,14750.6435546875
1983.708945923763,14781.0
1983.7103347787254,14786.7763671875
1983.711723633687,14810.328125
1983.7131124884156,14813.2509765625
1983.7145013433776,14807.240234375
1983.71589019834,14827.9326171875
1983.7172790530692,14825.81640625
1983.7186679080298,14839.4033203125
1983.720056762758,14849.943359375
1983.72144561772,14866.0185546875
1983.7228344726825,14834.0107421875
1983.7242233274117,14839.7841796875
1983.7256121823732,14844.50390625
1983.727001037102,14795.658203125
1983.728389892064,14823.7939453125
1983.7297787470263,14804.892578125
1983.7311676017555,14781.1259765625
1983.732556456717,14786.8125
1983.7339453114457,14754.2109375
1983.7353341664082,14759.48828125
1983.7367230213702,14735.6162109375
1983.7381118760989,14747.5771484375
1983.7395007310604,14758.5283203125
1983.7408895857895,14763.8359375
1983.742278440752,14756.4287109375
1983.7436672954811,14771.6748046875
1983.7450561504427,14758.4072265625
1983.7464450051714,14787.001953125
1983.7478338601334,14795.9150390625
1983.749222714863,14790.328125
1983.750611569825,14845.578125
1983.7520004247865,14807.0693359375
1983.7533892795152,14816.2099609375
1983.7547781344776,14819.67578125
1983.7561669892068,14815.70703125
1983.7575558441688,14818.8173828125
1983.760333553859,14812.1767578125
1983.7617224085886,14786.1923828125
1983.7631112635506,14777.193359375
1983.7645001182793,14805.5791015625
1983.7658889732409,14764.2626953125
1983.76727782797,14767.66015625
1983.7686666829325,14745.595703125
1983.7700555376616,14746.669921875
1983.7714443923903,14752.8720703125
1983.7728332473519,14782.6611328125
1983.7742221020815,14765.7314453125
1983.7756109570435,14748.52734375
1983.7769998117728,14763.2294921875
1983.7783886667341,14775.66796875
1983.7797775214628,14797.451171875
1983.7811663764253,14795.0927734375
1983.7825552311544,14812.6328125
1983.783944086117,14814.3134765625
1983.7853329408456,14833.08984375
1983.786721795574,14857.255859375
1983.7881106505363,14825.2998046875
1983.7894995052654,14844.2470703125
1983.790888360227,14876.2294921875
1983.7922772149557,14856.3076171875
1983.7936660699181,14804.494140625
1983.7950549246473,14781.533203125
1983.796443779376,14787.5712890625
1983.7978326343366,14792.3623046875
1983.7992214890653,14751.630859375
1983.8006103440277,14733.119140625
1983.801999198757,14744.7861328125
1983.8033880534865,14719.166015625
1983.804776908448,14698.0849609375
1983.8061657631765,14715.25390625
1983.8075546181387,14713.9482421875
1983.808943472868,14758.7041015625
1983.8103323275975,14785.8515625
1983.811721182559,14816.00390625
1983.8131100372877,14831.283203125
1983.814498892017,14775.9970703125
1983.8158877469793,14797.1240234375
1983.8172766017078,14784.072265625
1983.8186654566691,14821.568359375
1983.8200543113987,14823.21484375
1983.821443166128,14834.421875
1983.8228320210903,14821.63671875
1983.824220875819,14824.39453125
1983.8256097305477,14815.1630859375
1983.8269985855097,14750.4208984375
1983.8283874402389,14748.8388671875
1983.8297762949685,14765.017578125
1983.83116514993,14720.1572265625
1983.8325540046587,14742.7626953125
1983.833942859388,14756.76953125
1983.8353317143503,14718.919921875
1983.8367205690795,14720.1884765625
1983.8381094238082,14745.4501953125
1983.8394982787697,14752.193359375
1983.8408871334989,14749.654296875
1983.8422759882285,14773.5400390625
1983.84366484319,14771.5185546875
1983.8450536979187,14796.5029296875
1983.8464425526479,14806.5078125
1983.847831407377,14802.203125
1983.8492202623395,14852.533203125
1983.8506091170682,14808.7861328125
1983.851997971797,14814.3515625
1983.8533868267589,14821.033203125
1983.8547756814885,14821.1064453125
1983.8561645362176,14824.8251953125
1983.8575533909464,14802.7470703125
1983.8589422459079,14805.3583984375
1983.860331100637,14798.931640625
1983.8617199553667,14769.8720703125
1983.8631088103282,14779.2587890625
1983.864497665057,14791.345703125
1983.865886519786,14779.3095703125
1983.8672753745154,14758.091796875
1983.8686642294776,14741.7060546875
1983.8700530842063,14781.7138671875
1983.871441938935,14785.7734375
1983.8728307936638,14784.01171875
1983.8742196486253,14789.380859375
1983.8756085033544,14762.958984375
1983.8769973580831,14780.154296875
1983.8783862128118,14779.078125
1983.8797750677738,14748.1904296875
1983.8811639225034,14827.71484375
1983.8825527772326,14768.560546875
1983.8839416319613,14768.84375
1983.88533048669,14779.2626953125
1983.8867193416522,14815.7998046875
1983.8881081963816,14784.6416015625
1983.8894970511103,14794.884765625
1983.890885905839,14796.5068359375
1983.892274760801,14777.7421875
1983.8936636155306,14786.1845703125
1983.8950524702598,14793.3369140625
1983.8964413249885,14787.392578125
1983.8978301797172,14810.96875
1983.8992190346792,14797.5205078125
1983.9006078894088,14781.9921875
1983.901996744138,14783.146484375
1983.9033855988666,14788.775390625
1983.9047744535953,14764.232421875
1984.2158779135996,14759.845703125
1984.217266768328,14784.5390625
1984.2186556230565,14750.599609375
1984.2200444777861,14764.611328125
1984.2214333322825,14781.5849609375
1984.222822187012,14760.44140625
1984.2242110417408,14747.3818359375
1984.2255998964695,14742.232421875
1984.2269887511986,14757.9482421875
1984.2283776059278,14733.435546875
1984.2297664606574,14744.0830078125
1984.231155315386,14784.9287109375
1984.2325441701148,14758.7783203125
1984.233933024844,14809.6494140625
1984.2353218795736,14779.212890625
1984.236710734302,14788.24609375
1984.2380995887977,14791.234375
1984.2394884435273,14805.2666015625
1984.2408772982565,14803.20703125
1984.242266152986,14784.7529296875
1984.2436550077148,14859.5009765625
1984.2450438624435,14775.1318359375
1984.2464327171726,14787.263671875
1984.247821571902,14747.0087890625
1984.2492104266314,14778.79296875
1984.25059928136,14721.2197265625
1984.2519881360888,14717.685546875
1984.253376990818,14771.373046875
1984.2547658453148,14746.66015625
1984.2561547000435,14749.123046875
1984.257543554772,14745.8017578125
1984.2589324095004,14745.642578125
1984.260321264229,14758.2119140625
1984.2617101189587,14774.7841796875
1984.2630989736874,14791.2177734375
1984.2644878284161,14791.564453125
1984.2658766831453,14818.974609375
1984.2672655378747,14816.0927734375
1984.268654392604,14824.6201171875
1984.2700432473328,14803.1923828125
1984.2714321020615,14804.1025390625
1984.2728209565578,14857.5966796875
1984.2742098112874,14827.302734375
1984.275598666016,14782.65625
1984.2769875207446,14770.3720703125
1984.278376375474,14749.4638671875
1984.279765230203,14729.060546875
1984.2811540849327,14747.302734375
1984.2825429396614,14716.17578125
1984.2839317943901,14717.53125
1984.2853206491193,14709.412109375
1984.286709503849,14743.3505859375
1984.288098358578,14760.005859375
1984.289487213074,14718.7802734375
