id_starname,TOI1715
teff,-99
teff_err,0
logg,-99
logg_err,0
feh,-99
feh_err,0
lum,-99
lum_err,0
gmag,-99
gmag_err,0
rmag,-99
rmag_err,0
imag,-99
imag_err,0
zmag,-99
zmag_err,0
jmag,-99
jmag_err,0
hmag,-99
hmag_err,0
kmag,6.931
kmag_err,0.021
gamag,-99
gamag_err,0
bpmag,7.674169999999999
bpmag_err,0.00109
rpmag,7.3305
rpmag_err,0.00124
parallax,0.008994504357837359
parallax_err,4.744850021921058e-05
bmag,-99
bmag_err,0
vmag,-99
vmag_err,0
btmag,-99
btmag_err,0
vtmag,-99
vtmag_err,0
numax,-99
numax_err,0
dnu,-99
dnu_err,0
dmag,-99
dmag_err,0
ra,124.602826721589
dec,-7.57127954830024
band,kmag
iso_age,0.8181392735865803
iso_age_err1,0.1858415316434746
iso_age_err2,-0.25925205309871724
iso_avs,0.0
iso_avs_err1,0.0
iso_avs_err2,-0.0
iso_dis,110.69889316536891
iso_dis_err1,2.6795104200237745
iso_dis_err2,-1.7854776250461981
iso_feh,0.03601001010332609
iso_feh_err1,0.10207034519803838
iso_feh_err2,-0.13530342665174633
iso_mass,1.6250596766484215
iso_mass_err1,0.08532779951461023
iso_mass_err2,-0.0441570145786514
iso_rad,1.799848793884595
iso_rad_err1,0.04877028092570823
iso_rad_err2,-0.02661054683513364
iso_lum,9.339942523849382
iso_lum_err1,0.4104035821825658
iso_lum_err2,-0.39658570208008825
iso_logg,4.127474697157642
iso_logg_err1,0.04380893773155048
iso_logg_err2,-0.014378865516281536
iso_rho,0.271911632382187
iso_rho_err1,0.026169814541251335
iso_rho_err2,-0.01814860290889736
iso_teff,7501.962808417134
iso_teff_err1,17.60364233711789
iso_teff_err2,-2.958940897998218
iso_teffsec,0.0
iso_teffsec_err1,0.0
iso_teffsec_err2,-0.0
iso_radsec,0.0
iso_radsec_err1,0.0
iso_radsec_err2,-0.0
iso_masssec,0.0
iso_masssec_err1,0.0
iso_masssec_err2,-0.0
iso_rhosec,0.0
iso_rhosec_err1,0.0
iso_rhosec_err2,-0.0
iso_loggsec,0.0
iso_loggsec_err1,0.0
iso_loggsec_err2,-0.0
