id_starname,TOI1414
teff,-99
teff_err,0
logg,-99
logg_err,0
feh,-99
feh_err,0
lum,-99
lum_err,0
gmag,-99
gmag_err,0
rmag,-99
rmag_err,0
imag,-99
imag_err,0
zmag,-99
zmag_err,0
jmag,-99
jmag_err,0
hmag,-99
hmag_err,0
kmag,11.45
kmag_err,0.021
gamag,-99
gamag_err,0
bpmag,13.1532
bpmag_err,0.001199
rpmag,12.3565
rpmag_err,0.000874
parallax,0.0014689745235748374
parallax_err,3.9090107623769455e-05
bmag,-99
bmag_err,0
vmag,-99
vmag_err,0
btmag,-99
btmag_err,0
vtmag,-99
vtmag_err,0
numax,-99
numax_err,0
dnu,-99
dnu_err,0
dmag,-99
dmag_err,0
ra,133.258919629747
dec,-22.1981437962986
band,kmag
iso_age,1.4684210707635923
iso_age_err1,0.47274273714553217
iso_age_err2,-0.5199058856014707
iso_avs,0.5197838743798279
iso_avs_err1,0.0
iso_avs_err2,-0.0
iso_dis,673.980543325531
iso_dis_err1,19.385604717597516
iso_dis_err2,-22.102148505411265
iso_feh,0.04722395049658463
iso_feh_err1,0.12535719507471746
iso_feh_err2,-0.09142797514374612
iso_mass,1.3496062819977048
iso_mass_err1,0.057389933654344194
iso_mass_err2,-0.05672092529692452
iso_rad,1.492938527393211
iso_rad_err1,0.045181457567968986
iso_rad_err2,-0.05300344878214647
iso_lum,3.8805585468892407
iso_lum_err1,0.21395886597592417
iso_lum_err2,-0.25757954423936447
iso_logg,4.211892599824296
iso_logg_err1,0.029703073791614187
iso_logg_err2,-0.030601583944211974
iso_rho,0.39404911811709725
iso_rho_err1,0.04171883381605607
iso_rho_err2,-0.03563915673099877
iso_teff,6631.689601891888
iso_teff_err1,15.025811329596763
iso_teff_err2,-16.129763310297676
iso_teffsec,0.0
iso_teffsec_err1,0.0
iso_teffsec_err2,-0.0
iso_radsec,0.0
iso_radsec_err1,0.0
iso_radsec_err2,-0.0
iso_masssec,0.0
iso_masssec_err1,0.0
iso_masssec_err2,-0.0
iso_rhosec,0.0
iso_rhosec_err1,0.0
iso_rhosec_err2,-0.0
iso_loggsec,0.0
iso_loggsec_err1,0.0
iso_loggsec_err2,-0.0
