id_starname,TOI464
teff,-99
teff_err,0
logg,-99
logg_err,0
feh,-99
feh_err,0
lum,-99
lum_err,0
gmag,-99
gmag_err,0
rmag,-99
rmag_err,0
imag,-99
imag_err,0
zmag,-99
zmag_err,0
jmag,-99
jmag_err,0
hmag,-99
hmag_err,0
kmag,7.79
kmag_err,0.021
gamag,-99
gamag_err,0
bpmag,8.36127
bpmag_err,0.001381
rpmag,8.09549
rpmag_err,0.001598
parallax,0.0054310930074677535
parallax_err,3.493892555245379e-05
bmag,-99
bmag_err,0
vmag,-99
vmag_err,0
btmag,-99
btmag_err,0
vtmag,-99
vtmag_err,0
numax,-99
numax_err,0
dnu,-99
dnu_err,0
dmag,-99
dmag_err,0
ra,134.718515758572
dec,-43.4528821348845
band,kmag
iso_age,0.11946651620152907
iso_age_err1,0.04340520418769678
iso_age_err2,-0.01946651620152906
iso_avs,0.8688165070783992
iso_avs_err1,0.016263483827692715
iso_avs_err2,-0.016190907217343953
iso_dis,183.41819165739423
iso_dis_err1,3.2453538027689888
iso_dis_err2,-3.2322484882198808
iso_feh,-0.5219009122137458
iso_feh_err1,0.022300769640477225
iso_feh_err2,-0.10165790061183255
iso_mass,2.4351261689771047
iso_mass_err1,0.04688481422973467
iso_mass_err2,-0.06935023440906685
iso_rad,1.6640311940988424
iso_rad_err1,0.014849695741954827
iso_rad_err2,-0.020624191672963033
iso_lum,55.90495245522545
iso_lum_err1,5.5775200896073756
iso_lum_err2,-5.023560484050904
iso_logg,4.3827101407268785
iso_logg_err1,0.005409277811623703
iso_logg_err2,-0.008851593116424361
iso_rho,0.5299408377679867
iso_rho_err1,0.008369798568788278
iso_rho_err2,-0.013886422253300168
iso_teff,12231.104939080813
iso_teff_err1,243.5046012047551
iso_teff_err2,-219.68988619491756
iso_teffsec,0.0
iso_teffsec_err1,0.0
iso_teffsec_err2,-0.0
iso_radsec,0.0
iso_radsec_err1,0.0
iso_radsec_err2,-0.0
iso_masssec,0.0
iso_masssec_err1,0.0
iso_masssec_err2,-0.0
iso_rhosec,0.0
iso_rhosec_err1,0.0
iso_rhosec_err2,-0.0
iso_loggsec,0.0
iso_loggsec_err1,0.0
iso_loggsec_err2,-0.0
