id_starname,TOI817
teff,-99
teff_err,0
logg,-99
logg_err,0
feh,-99
feh_err,0
lum,-99
lum_err,0
gmag,-99
gmag_err,0
rmag,-99
rmag_err,0
imag,-99
imag_err,0
zmag,-99
zmag_err,0
jmag,-99
jmag_err,0
hmag,-99
hmag_err,0
kmag,8.381
kmag_err,0.031
gamag,-99
gamag_err,0
bpmag,8.820030000000001
bpmag_err,0.000824
rpmag,8.60096
rpmag_err,0.001381
parallax,0.0044001496050865745
parallax_err,3.5702267712932665e-05
bmag,-99
bmag_err,0
vmag,-99
vmag_err,0
btmag,-99
btmag_err,0
vtmag,-99
vtmag_err,0
numax,-99
numax_err,0
dnu,-99
dnu_err,0
dmag,-99
dmag_err,0
ra,140.05677512206498
dec,-53.119680707387296
band,kmag
iso_age,0.4576138416870972
iso_age_err1,0.14604182135025978
iso_age_err2,-0.2137546512055808
iso_avs,0.14140438507567826
iso_avs_err1,0.002440906428269801
iso_avs_err2,-0.00423079126182338
iso_dis,227.03574112092963
iso_dis_err1,3.9465253369517654
iso_dis_err2,-6.496102921009083
iso_feh,-0.027101235018985197
iso_feh_err1,0.16616828560289346
iso_feh_err2,-0.08547209225499755
iso_mass,1.8198416338418857
iso_mass_err1,0.11223535386746497
iso_mass_err2,-0.02500210437390793
iso_rad,1.8052883311038446
iso_rad_err1,0.035033057333171636
iso_rad_err2,-0.04698964584498544
iso_lum,14.766532944440893
iso_lum_err1,0.521829766953342
iso_lum_err2,-0.8605887036067603
iso_logg,4.188333303769313
iso_logg_err1,0.02811964009217327
iso_logg_err2,-0.025022331895450556
iso_rho,0.31308541560031844
iso_rho_err1,0.022208107144144784
iso_rho_err2,-0.02024998511927234
iso_teff,8408.367799217638
iso_teff_err1,12.149935398203525
iso_teff_err2,-20.99046337679465
iso_teffsec,0.0
iso_teffsec_err1,0.0
iso_teffsec_err2,-0.0
iso_radsec,0.0
iso_radsec_err1,0.0
iso_radsec_err2,-0.0
iso_masssec,0.0
iso_masssec_err1,0.0
iso_masssec_err2,-0.0
iso_rhosec,0.0
iso_rhosec_err1,0.0
iso_rhosec_err2,-0.0
iso_loggsec,0.0
iso_loggsec_err1,0.0
iso_loggsec_err2,-0.0
