id_starname,TOI522
teff,-99
teff_err,0
logg,-99
logg_err,0
feh,-99
feh_err,0
lum,-99
lum_err,0
gmag,-99
gmag_err,0
rmag,-99
rmag_err,0
imag,-99
imag_err,0
zmag,-99
zmag_err,0
jmag,-99
jmag_err,0
hmag,-99
hmag_err,0
kmag,8.503
kmag_err,0.013000000000000001
gamag,-99
gamag_err,0
bpmag,9.45277
bpmag_err,0.001282
rpmag,8.97541
rpmag_err,0.0025039999999999997
parallax,0.005467259317576692
parallax_err,3.8574237997084416e-05
bmag,-99
bmag_err,0
vmag,-99
vmag_err,0
btmag,-99
btmag_err,0
vtmag,-99
vtmag_err,0
numax,-99
numax_err,0
dnu,-99
dnu_err,0
dmag,-99
dmag_err,0
ra,79.0736590848513
dec,79.7376706381447
band,kmag
iso_age,0.9728731775706051
iso_age_err1,0.4420463417637338
iso_age_err2,-0.523590069924901
iso_avs,0.0
iso_avs_err1,0.0
iso_avs_err2,-0.0
iso_dis,182.30033451352426
iso_dis_err1,3.7209518341116166
iso_dis_err2,-2.444215608695231
iso_feh,0.007868666128482884
iso_feh_err1,0.10917142145591491
iso_feh_err2,-0.1516178583301088
iso_mass,1.4022061178573777
iso_mass_err1,0.06377584042750262
iso_mass_err2,-0.05891751409068058
iso_rad,1.4935711955988729
iso_rad_err1,0.030863298436876185
iso_rad_err2,-0.01733473698893162
iso_lum,4.679532863356929
iso_lum_err1,0.18356160375951358
iso_lum_err2,-0.12363088641478281
iso_logg,4.2298966846448405
iso_logg_err1,0.02693157170540683
iso_logg_err2,-0.02757261808089062
iso_rho,0.4150962921027563
iso_rho_err1,0.022191002948370675
iso_rho_err2,-0.032708626624117165
iso_teff,6936.189463961801
iso_teff_err1,19.98422370744538
iso_teff_err2,-14.952079761650566
iso_teffsec,0.0
iso_teffsec_err1,0.0
iso_teffsec_err2,-0.0
iso_radsec,0.0
iso_radsec_err1,0.0
iso_radsec_err2,-0.0
iso_masssec,0.0
iso_masssec_err1,0.0
iso_masssec_err2,-0.0
iso_rhosec,0.0
iso_rhosec_err1,0.0
iso_rhosec_err2,-0.0
iso_loggsec,0.0
iso_loggsec_err1,0.0
iso_loggsec_err2,-0.0
