id_starname,TOI760
teff,-99
teff_err,0
logg,-99
logg_err,0
feh,-99
feh_err,0
lum,-99
lum_err,0
gmag,-99
gmag_err,0
rmag,-99
rmag_err,0
imag,-99
imag_err,0
zmag,-99
zmag_err,0
jmag,-99
jmag_err,0
hmag,-99
hmag_err,0
kmag,8.833
kmag_err,0.021
gamag,-99
gamag_err,0
bpmag,10.3453
bpmag_err,0.001233
rpmag,9.64058
rpmag_err,0.001258
parallax,0.005250253324722918
parallax_err,4.300164955907191e-05
bmag,-99
bmag_err,0
vmag,-99
vmag_err,0
btmag,-99
btmag_err,0
vtmag,-99
vtmag_err,0
numax,-99
numax_err,0
dnu,-99
dnu_err,0
dmag,-99
dmag_err,0
ra,261.062911702233
dec,-50.3859528021206
band,kmag
iso_age,2.5094582107034356
iso_age_err1,0.7140796336832684
iso_age_err2,-0.8268565643293828
iso_avs,0.17107408894317044
iso_avs_err1,0.0016345609990326415
iso_avs_err2,-0.004324604080564065
iso_dis,191.68936799847125
iso_dis_err1,1.638634877052482
iso_dis_err2,-5.070388011991042
iso_feh,-0.08016098271581477
iso_feh_err1,0.25818636173312676
iso_feh_err2,-0.1810230568591228
iso_mass,1.2379976834538202
iso_mass_err1,0.05545223658207177
iso_mass_err2,-0.06710993464707271
iso_rad,1.43027145388614
iso_rad_err1,0.013659381553707828
iso_rad_err2,-0.039293971067593914
iso_lum,2.9768935853685385
iso_lum_err1,0.07941653368129131
iso_lum_err2,-0.1546096735427258
iso_logg,4.21768597821666
iso_logg_err1,0.034109302183394696
iso_logg_err2,-0.023115490656493876
iso_rho,0.4212115258367046
iso_rho_err1,0.041905432778516105
iso_rho_err2,-0.024858496522569495
iso_teff,6355.837876143824
iso_teff_err1,21.221125895754994
iso_teff_err2,-28.137070318462975
iso_teffsec,0.0
iso_teffsec_err1,0.0
iso_teffsec_err2,-0.0
iso_radsec,0.0
iso_radsec_err1,0.0
iso_radsec_err2,-0.0
iso_masssec,0.0
iso_masssec_err1,0.0
iso_masssec_err2,-0.0
iso_rhosec,0.0
iso_rhosec_err1,0.0
iso_rhosec_err2,-0.0
iso_loggsec,0.0
iso_loggsec_err1,0.0
iso_loggsec_err2,-0.0
