id_starname,TOI1228
teff,-99
teff_err,0
logg,-99
logg_err,0
feh,-99
feh_err,0
lum,-99
lum_err,0
gmag,-99
gmag_err,0
rmag,-99
rmag_err,0
imag,-99
imag_err,0
zmag,-99
zmag_err,0
jmag,-99
jmag_err,0
hmag,-99
hmag_err,0
kmag,7.439
kmag_err,0.028999999999999998
gamag,-99
gamag_err,0
bpmag,8.12265
bpmag_err,0.0008900000000000001
rpmag,7.77235
rpmag_err,0.001377
parallax,0.0067147893234849754
parallax_err,4.630578234157508e-05
bmag,-99
bmag_err,0
vmag,-99
vmag_err,0
btmag,-99
btmag_err,0
vtmag,-99
vtmag_err,0
numax,-99
numax_err,0
dnu,-99
dnu_err,0
dmag,-99
dmag_err,0
ra,316.203602819585
dec,55.5879192841525
band,kmag
iso_age,0.8696875879433857
iso_age_err1,0.09672626510442806
iso_age_err2,-0.26357126983479817
iso_avs,0.08906440082196283
iso_avs_err1,0.0012400528775457637
iso_avs_err2,-0.0022846083476411733
iso_dis,148.51359853987628
iso_dis_err1,2.1482622753354406
iso_dis_err2,-4.019143769000408
iso_feh,-0.030037743419030278
iso_feh_err1,0.18844035499317272
iso_feh_err2,-0.05784317084931202
iso_mass,1.6867589891849837
iso_mass_err1,0.07746784616312596
iso_mass_err2,-0.05637788774014307
iso_rad,1.907777032943197
iso_rad_err1,0.026605879359066886
iso_rad_err2,-0.05116813299912182
iso_lum,11.267331749976623
iso_lum_err1,0.27062119058206946
iso_lum_err2,-0.5687946991108124
iso_logg,4.102418555894534
iso_logg_err1,0.02698699136754179
iso_logg_err2,-0.018650273510601778
iso_rho,0.23921490626441286
iso_rho_err1,0.02349934337905199
iso_rho_err2,-0.009515360326520395
iso_teff,7650.277511458564
iso_teff_err1,9.908626754564466
iso_teff_err2,-10.680407424552868
iso_teffsec,0.0
iso_teffsec_err1,0.0
iso_teffsec_err2,-0.0
iso_radsec,0.0
iso_radsec_err1,0.0
iso_radsec_err2,-0.0
iso_masssec,0.0
iso_masssec_err1,0.0
iso_masssec_err2,-0.0
iso_rhosec,0.0
iso_rhosec_err1,0.0
iso_rhosec_err2,-0.0
iso_loggsec,0.0
iso_loggsec_err1,0.0
iso_loggsec_err2,-0.0
