id_starname,TOI709
teff,-99
teff_err,0
logg,-99
logg_err,0
feh,-99
feh_err,0
lum,-99
lum_err,0
gmag,-99
gmag_err,0
rmag,-99
rmag_err,0
imag,-99
imag_err,0
zmag,-99
zmag_err,0
jmag,-99
jmag_err,0
hmag,-99
hmag_err,0
kmag,8.604
kmag_err,0.021
gamag,-99
gamag_err,0
bpmag,10.0198
bpmag_err,0.000597
rpmag,9.32627
rpmag_err,0.000683
parallax,0.005485042289676054
parallax_err,4.311279222169326e-05
bmag,-99
bmag_err,0
vmag,-99
vmag_err,0
btmag,-99
btmag_err,0
vtmag,-99
vtmag_err,0
numax,-99
numax_err,0
dnu,-99
dnu_err,0
dmag,-99
dmag_err,0
ra,183.118789080501
dec,-49.007639272326706
band,kmag
iso_age,2.8789443780869726
iso_age_err1,0.47530377256829226
iso_age_err2,-0.5888464909158877
iso_avs,0.10825127063905508
iso_avs_err1,0.0008245435818683561
iso_avs_err2,-0.0016387831722142754
iso_dis,182.6891477215846
iso_dis_err1,1.2727764570621218
iso_dis_err2,-2.9474547051721913
iso_feh,-0.06590589027462945
iso_feh_err1,0.18667000066153805
iso_feh_err2,-0.12130855626106052
iso_mass,1.249514656591005
iso_mass_err1,0.04389424128946917
iso_mass_err2,-0.053733673688201034
iso_rad,1.5151183121435647
iso_rad_err1,0.01410386115076645
iso_rad_err2,-0.02650460684779299
iso_lum,3.236294286670332
iso_lum_err1,0.05126924808219391
iso_lum_err2,-0.11250364861073026
iso_logg,4.170347978280077
iso_logg_err1,0.03154177580439832
iso_logg_err2,-0.027389074002512892
iso_rho,0.35518639179272055
iso_rho_err1,0.033084447065066636
iso_rho_err2,-0.021617756323590642
iso_teff,6284.989066241673
iso_teff_err1,25.027687427500496
iso_teff_err2,-14.468456231400523
iso_teffsec,0.0
iso_teffsec_err1,0.0
iso_teffsec_err2,-0.0
iso_radsec,0.0
iso_radsec_err1,0.0
iso_radsec_err2,-0.0
iso_masssec,0.0
iso_masssec_err1,0.0
iso_masssec_err2,-0.0
iso_rhosec,0.0
iso_rhosec_err1,0.0
iso_rhosec_err2,-0.0
iso_loggsec,0.0
iso_loggsec_err1,0.0
iso_loggsec_err2,-0.0
