id_starname,TOI621
teff,-99
teff_err,0
logg,-99
logg_err,0
feh,-99
feh_err,0
lum,-99
lum_err,0
gmag,-99
gmag_err,0
rmag,-99
rmag_err,0
imag,-99
imag_err,0
zmag,-99
zmag_err,0
jmag,-99
jmag_err,0
hmag,-99
hmag_err,0
kmag,8.863999999999999
kmag_err,0.024
gamag,-99
gamag_err,0
bpmag,9.35115
bpmag_err,0.000977
rpmag,9.100439999999999
rpmag_err,0.0012900000000000001
parallax,0.0035747479802673908
parallax_err,3.829174348634889e-05
bmag,-99
bmag_err,0
vmag,-99
vmag_err,0
btmag,-99
btmag_err,0
vtmag,-99
vtmag_err,0
numax,-99
numax_err,0
dnu,-99
dnu_err,0
dmag,-99
dmag_err,0
ra,166.889032024691
dec,-40.2069580584455
band,kmag
iso_age,0.4395551122400869
iso_age_err1,0.23954435905319593
iso_age_err2,-0.2011681801661181
iso_avs,0.22740397224629813
iso_avs_err1,0.0038920769067390115
iso_avs_err2,-0.004129428655860384
iso_dis,278.4367446997604
iso_dis_err1,5.906603313578387
iso_dis_err2,-5.662665162848839
iso_feh,-0.03100536602673626
iso_feh_err1,0.16405049611129705
iso_feh_err2,-0.2081877641062842
iso_mass,1.8305244635547397
iso_mass_err1,0.10042805178791214
iso_mass_err2,-0.09745036293954557
iso_rad,1.7814761984258578
iso_rad_err1,0.04162117357227291
iso_rad_err2,-0.036948094435834244
iso_lum,14.624154100321833
iso_lum_err1,0.7198755840722875
iso_lum_err2,-0.672497730341366
iso_logg,4.196875741321934
iso_logg_err1,0.027088044932653155
iso_logg_err2,-0.04514804806124317
iso_rho,0.3220900552339885
iso_rho_err1,0.022897791733003492
iso_rho_err2,-0.03496055731352288
iso_teff,8456.803486736055
iso_teff_err1,15.068920685245757
iso_teff_err2,-13.035388036198128
iso_teffsec,0.0
iso_teffsec_err1,0.0
iso_teffsec_err2,-0.0
iso_radsec,0.0
iso_radsec_err1,0.0
iso_radsec_err2,-0.0
iso_masssec,0.0
iso_masssec_err1,0.0
iso_masssec_err2,-0.0
iso_rhosec,0.0
iso_rhosec_err1,0.0
iso_rhosec_err2,-0.0
iso_loggsec,0.0
iso_loggsec_err1,0.0
iso_loggsec_err2,-0.0
