id_starname,TOI476
teff,-99
teff_err,0
logg,-99
logg_err,0
feh,-99
feh_err,0
lum,-99
lum_err,0
gmag,-99
gmag_err,0
rmag,-99
rmag_err,0
imag,-99
imag_err,0
zmag,-99
zmag_err,0
jmag,-99
jmag_err,0
hmag,-99
hmag_err,0
kmag,8.048
kmag_err,0.017
gamag,-99
gamag_err,0
bpmag,9.40082
bpmag_err,0.0017530000000000002
rpmag,8.73972
rpmag_err,0.001513
parallax,0.00657713000355165
parallax_err,3.4693428545062705e-05
bmag,-99
bmag_err,0
vmag,-99
vmag_err,0
btmag,-99
btmag_err,0
vtmag,-99
vtmag_err,0
numax,-99
numax_err,0
dnu,-99
dnu_err,0
dmag,-99
dmag_err,0
ra,90.16992424024549
dec,-8.468099874435769
band,kmag
iso_age,2.968940338973188
iso_age_err1,0.6324009840860776
iso_age_err2,-0.4236831087255899
iso_avs,0.0
iso_avs_err1,0.0
iso_avs_err2,-0.0
iso_dis,150.3666271511489
iso_dis_err1,3.1398024100122086
iso_dis_err2,-1.6329503341980285
iso_feh,0.024675321267751064
iso_feh_err1,0.15178302709444105
iso_feh_err2,-0.1851931987955769
iso_mass,1.2749072753908168
iso_mass_err1,0.0475188534482649
iso_mass_err2,-0.06427362736652986
iso_rad,1.6160629022275255
iso_rad_err1,0.028305254853238537
iso_rad_err2,-0.02329740912707079
iso_lum,3.5182664606071845
iso_lum_err1,0.16001969720006715
iso_lum_err2,-0.07076346718756454
iso_logg,4.124115022861556
iso_logg_err1,0.02182860791373109
iso_logg_err2,-0.03458063954781565
iso_rho,0.2973676027706806
iso_rho_err1,0.01866726722359363
iso_rho_err2,-0.02142297055938297
iso_teff,6223.685813313434
iso_teff_err1,17.78480715378737
iso_teff_err2,-26.989019063340493
iso_teffsec,0.0
iso_teffsec_err1,0.0
iso_teffsec_err2,-0.0
iso_radsec,0.0
iso_radsec_err1,0.0
iso_radsec_err2,-0.0
iso_masssec,0.0
iso_masssec_err1,0.0
iso_masssec_err2,-0.0
iso_rhosec,0.0
iso_rhosec_err1,0.0
iso_rhosec_err2,-0.0
iso_loggsec,0.0
iso_loggsec_err1,0.0
iso_loggsec_err2,-0.0
