id_starname,TOI777
teff,-99
teff_err,0
logg,-99
logg_err,0
feh,-99
feh_err,0
lum,-99
lum_err,0
gmag,-99
gmag_err,0
rmag,-99
rmag_err,0
imag,-99
imag_err,0
zmag,-99
zmag_err,0
jmag,-99
jmag_err,0
hmag,-99
hmag_err,0
kmag,8.109
kmag_err,0.028999999999999998
gamag,-99
gamag_err,0
bpmag,9.65723
bpmag_err,0.001267
rpmag,8.91182
rpmag_err,0.004027
parallax,0.004557075086926207
parallax_err,4.069280589517772e-05
bmag,-99
bmag_err,0
vmag,-99
vmag_err,0
btmag,-99
btmag_err,0
vtmag,-99
vtmag_err,0
numax,-99
numax_err,0
dnu,-99
dnu_err,0
dmag,-99
dmag_err,0
ra,259.49575842721697
dec,-45.8835290241942
band,kmag
iso_age,2.290567974920556
iso_age_err1,0.831356470196698
iso_age_err2,-0.31137241368095214
iso_avs,0.1659375929457247
iso_avs_err1,0.003782168226334953
iso_avs_err2,-0.0032223175084120648
iso_dis,218.8608513383427
iso_dis_err1,4.897624838255439
iso_dis_err2,-4.02379167850134
iso_feh,0.12078716358097769
iso_feh_err1,0.05700194514622983
iso_feh_err2,-0.19979133307796285
iso_mass,1.4847171561108095
iso_mass_err1,0.051467451110474016
iso_mass_err2,-0.16886466893039676
iso_rad,2.29796365434872
iso_rad_err1,0.05582954224182979
iso_rad_err2,-0.03947389178202654
iso_lum,7.038471347434667
iso_lum_err1,0.35503049618110527
iso_lum_err2,-0.24909914876242922
iso_logg,3.876903411003045
iso_logg_err1,0.02706176918476988
iso_logg_err2,-0.05354222202618297
iso_rho,0.11783004265908395
iso_rho_err1,0.009853911372941948
iso_rho_err2,-0.013954602498717467
iso_teff,6196.128348189239
iso_teff_err1,26.133058210084528
iso_teff_err2,-25.23299759393467
iso_teffsec,0.0
iso_teffsec_err1,0.0
iso_teffsec_err2,-0.0
iso_radsec,0.0
iso_radsec_err1,0.0
iso_radsec_err2,-0.0
iso_masssec,0.0
iso_masssec_err1,0.0
iso_masssec_err2,-0.0
iso_rhosec,0.0
iso_rhosec_err1,0.0
iso_rhosec_err2,-0.0
iso_loggsec,0.0
iso_loggsec_err1,0.0
iso_loggsec_err2,-0.0
