id_starname,TOI1417
teff,-99
teff_err,0
logg,-99
logg_err,0
feh,-99
feh_err,0
lum,-99
lum_err,0
gmag,-99
gmag_err,0
rmag,-99
rmag_err,0
imag,-99
imag_err,0
zmag,-99
zmag_err,0
jmag,-99
jmag_err,0
hmag,-99
hmag_err,0
kmag,10.161
kmag_err,0.023
gamag,-99
gamag_err,0
bpmag,11.0749
bpmag_err,0.001504
rpmag,10.6358
rpmag_err,0.0011359999999999999
parallax,0.002373329472717391
parallax_err,2.584279450248462e-05
bmag,-99
bmag_err,0
vmag,-99
vmag_err,0
btmag,-99
btmag_err,0
vtmag,-99
vtmag_err,0
numax,-99
numax_err,0
dnu,-99
dnu_err,0
dmag,-99
dmag_err,0
ra,117.89498223629101
dec,-60.4124381390389
band,kmag
iso_age,0.41878265138341775
iso_age_err1,0.33119989813970874
iso_age_err2,-0.20637374235100608
iso_avs,0.36558048280404665
iso_avs_err1,0.006093487290115218
iso_avs_err2,-0.006175930869867452
iso_dis,420.64594494348756
iso_dis_err1,8.329453317413709
iso_dis_err2,-8.44550520706224
iso_feh,-0.07862821479617463
iso_feh_err1,0.09266244400117984
iso_feh_err2,-0.11075672363018885
iso_mass,1.598860775121411
iso_mass_err1,0.047799023387481654
iso_mass_err2,-0.058346933868906437
iso_rad,1.540795014528321
iso_rad_err1,0.031217518846585746
iso_rad_err2,-0.030480083238023647
iso_lum,8.175815648248776
iso_lum_err1,0.38887810388964894
iso_lum_err2,-0.39460760824592533
iso_logg,4.261702794203309
iso_logg_err1,0.020367850768713502
iso_logg_err2,-0.024328867049935532
iso_rho,0.4259667562701664
iso_rho_err1,0.031113644672471463
iso_rho_err2,-0.025707510967970193
iso_teff,7863.464824839866
iso_teff_err1,8.850525976940844
iso_teff_err2,-17.821583554835343
iso_teffsec,0.0
iso_teffsec_err1,0.0
iso_teffsec_err2,-0.0
iso_radsec,0.0
iso_radsec_err1,0.0
iso_radsec_err2,-0.0
iso_masssec,0.0
iso_masssec_err1,0.0
iso_masssec_err2,-0.0
iso_rhosec,0.0
iso_rhosec_err1,0.0
iso_rhosec_err2,-0.0
iso_loggsec,0.0
iso_loggsec_err1,0.0
iso_loggsec_err2,-0.0
