id_starname,TOI838
teff,-99
teff_err,0
logg,-99
logg_err,0
feh,-99
feh_err,0
lum,-99
lum_err,0
gmag,-99
gmag_err,0
rmag,-99
rmag_err,0
imag,-99
imag_err,0
zmag,-99
zmag_err,0
jmag,-99
jmag_err,0
hmag,-99
hmag_err,0
kmag,8.823
kmag_err,0.019
gamag,-99
gamag_err,0
bpmag,9.30767
bpmag_err,0.0016539999999999999
rpmag,9.0607
rpmag_err,0.002105
parallax,0.0036735398597442476
parallax_err,2.955382027147424e-05
bmag,-99
bmag_err,0
vmag,-99
vmag_err,0
btmag,-99
btmag_err,0
vtmag,-99
vtmag_err,0
numax,-99
numax_err,0
dnu,-99
dnu_err,0
dmag,-99
dmag_err,0
ra,107.843695538616
dec,-68.8334911423119
band,kmag
iso_age,0.34863367408961804
iso_age_err1,0.16276919164723896
iso_age_err2,-0.1463161424179673
iso_avs,0.2677342569805802
iso_avs_err1,0.004433423469646369
iso_avs_err2,-0.004649128529057023
iso_dis,271.6561030196331
iso_dis_err1,5.449311161641788
iso_dis_err2,-5.171059754688372
iso_feh,0.008320736310987027
iso_feh_err1,0.1381096218754301
iso_feh_err2,-0.1619690295669255
iso_mass,1.8679740154524975
iso_mass_err1,0.08009635293788953
iso_mass_err2,-0.06792971814107096
iso_rad,1.7599513067253598
iso_rad_err1,0.03758259797049579
iso_rad_err2,-0.03222790013476007
iso_lum,15.17978542461663
iso_lum_err1,0.6356980604293057
iso_lum_err2,-0.5549456323721511
iso_logg,4.2170408960893315
iso_logg_err1,0.02146624377732742
iso_logg_err2,-0.02359067364077383
iso_rho,0.33985415570974964
iso_rho_err1,0.024320547229346845
iso_rho_err2,-0.02103089776149919
iso_teff,8589.058543089932
iso_teff_err1,18.37877372301955
iso_teff_err2,-26.06198502926236
iso_teffsec,0.0
iso_teffsec_err1,0.0
iso_teffsec_err2,-0.0
iso_radsec,0.0
iso_radsec_err1,0.0
iso_radsec_err2,-0.0
iso_masssec,0.0
iso_masssec_err1,0.0
iso_masssec_err2,-0.0
iso_rhosec,0.0
iso_rhosec_err1,0.0
iso_rhosec_err2,-0.0
iso_loggsec,0.0
iso_loggsec_err1,0.0
iso_loggsec_err2,-0.0
