id_starname,TOI1431
teff,-99
teff_err,0
logg,-99
logg_err,0
feh,-99
feh_err,0
lum,-99
lum_err,0
gmag,-99
gmag_err,0
rmag,-99
rmag_err,0
imag,-99
imag_err,0
zmag,-99
zmag_err,0
jmag,-99
jmag_err,0
hmag,-99
hmag_err,0
kmag,9.571
kmag_err,0.02
gamag,-99
gamag_err,0
bpmag,9.65048
bpmag_err,0.002125
rpmag,9.57865
rpmag_err,0.003453
parallax,0.0013001567989099484
parallax_err,0.00019089436094342325
bmag,-99
bmag_err,0
vmag,-99
vmag_err,0
btmag,-99
btmag_err,0
vtmag,-99
vtmag_err,0
numax,-99
numax_err,0
dnu,-99
dnu_err,0
dmag,-99
dmag_err,0
ra,40.2455752920843
dec,42.8712762407966
band,kmag
iso_age,0.3253121111825457
iso_age_err1,0.04234149489688621
iso_age_err2,-0.036499902483076
iso_avs,0.21402865281636801
iso_avs_err1,0.0
iso_avs_err2,-0.0
iso_dis,742.0711109458623
iso_dis_err1,121.98370498097506
iso_dis_err2,-102.33005328418596
iso_feh,-0.021778087141221272
iso_feh_err1,0.21114041044810455
iso_feh_err2,-0.15750541906337162
iso_mass,2.70167049675105
iso_mass_err1,0.19563599817433497
iso_mass_err2,-0.18150684601043565
iso_rad,3.202640373224639
iso_rad_err1,0.5284944095939355
iso_rad_err2,-0.4522888405717831
iso_lum,86.03639845014095
iso_lum_err1,29.145961620837838
iso_lum_err2,-21.85954913349788
iso_logg,3.837002568167232
iso_logg_err1,0.10835690019487831
iso_logg_err2,-0.10717785487520315
iso_rho,0.07627839553106833
iso_rho_err1,0.036514262069018324
iso_rho_err2,-0.025074643900687588
iso_teff,9807.80475945968
iso_teff_err1,68.77187043891354
iso_teff_err2,-62.598608951610004
iso_teffsec,0.0
iso_teffsec_err1,0.0
iso_teffsec_err2,-0.0
iso_radsec,0.0
iso_radsec_err1,0.0
iso_radsec_err2,-0.0
iso_masssec,0.0
iso_masssec_err1,0.0
iso_masssec_err2,-0.0
iso_rhosec,0.0
iso_rhosec_err1,0.0
iso_rhosec_err2,-0.0
iso_loggsec,0.0
iso_loggsec_err1,0.0
iso_loggsec_err2,-0.0
