id_starname,TOI1641
teff,-99
teff_err,0
logg,-99
logg_err,0
feh,-99
feh_err,0
lum,-99
lum_err,0
gmag,-99
gmag_err,0
rmag,-99
rmag_err,0
imag,-99
imag_err,0
zmag,-99
zmag_err,0
jmag,-99
jmag_err,0
hmag,-99
hmag_err,0
kmag,8.613999999999999
kmag_err,0.02
gamag,-99
gamag_err,0
bpmag,8.87427
bpmag_err,0.001485
rpmag,8.76706
rpmag_err,0.001685
parallax,0.002170478026080464
parallax_err,3.325477154872722e-05
bmag,-99
bmag_err,0
vmag,-99
vmag_err,0
btmag,-99
btmag_err,0
vtmag,-99
vtmag_err,0
numax,-99
numax_err,0
dnu,-99
dnu_err,0
dmag,-99
dmag_err,0
ra,64.31142478129311
dec,-38.8441688281628
band,kmag
iso_age,0.48485018804098007
iso_age_err1,0.05172603842688456
iso_age_err2,-0.04523676648793812
iso_avs,0.04889936629061323
iso_avs_err1,0.0002606913316265322
iso_avs_err2,-0.000165785363326669
iso_dis,457.31468149236883
iso_dis_err1,10.607018646563915
iso_dis_err2,-6.194176124635021
iso_feh,0.0252095887214884
iso_feh_err1,0.21736945161157598
iso_feh_err2,-0.15487883309884035
iso_mass,2.4059283518881402
iso_mass_err1,0.09986092017445136
iso_mass_err2,-0.09175471029218807
iso_rad,3.226271856307121
iso_rad_err1,0.06472084563212688
iso_rad_err2,-0.05648730745003849
iso_lum,54.13604071298947
iso_lum_err1,2.3263060529828365
iso_lum_err2,-1.6792960181340888
iso_logg,3.8025276970137565
iso_logg_err1,0.017658929109615862
iso_logg_err2,-0.033662293022031164
iso_rho,0.07142453429925447
iso_rho_err1,0.0037004532098460913
iso_rho_err2,-0.005327732449953243
iso_teff,8718.576748043872
iso_teff_err1,18.63064611442678
iso_teff_err2,-18.25849859054324
iso_teffsec,0.0
iso_teffsec_err1,0.0
iso_teffsec_err2,-0.0
iso_radsec,0.0
iso_radsec_err1,0.0
iso_radsec_err2,-0.0
iso_masssec,0.0
iso_masssec_err1,0.0
iso_masssec_err2,-0.0
iso_rhosec,0.0
iso_rhosec_err1,0.0
iso_rhosec_err2,-0.0
iso_loggsec,0.0
iso_loggsec_err1,0.0
iso_loggsec_err2,-0.0
